Tick,1000,0,2552040
Tick,1000,1,2601570
Tick,1002,2,2651600
Tick,1002,3,2699510
Tick,1002,4,2747895
Tick,1002,5,2796470
Tick,1002,6,2845300
Tick,1002,7,2893500
Tick,1002,8,2941380
Tick,1008,9,2989765
Tick,1012,10,3038425
Tick,1016,11,3085510
Tick,1020,12,3133175
Tick,1024,13,3181075
Tick,1026,14,3229240
Tick,1031,15,3276705
Tick,1039,16,3324405
Tick,1044,17,3372425
Tick,1052,18,3419855
Tick,1058,19,3467380
Tick,1062,20,3515995
Tick,1067,21,3562850
Tick,1071,22,3611025
Tick,1077,23,3659925
Tick,1083,24,3708230
Tick,1089,25,3756395
Tick,1092,26,3804685
Tick,1096,27,3852400
Tick,1100,28,3900990
Tick,1103,29,3948890
Tick,1106,30,3996935
Tick,1108,31,4045225
Tick,1110,32,4093255
Tick,1115,33,4140245
Tick,1119,34,4189530
Tick,1123,35,4237240
Tick,1127,36,4284160
Tick,1131,37,4331140
Tick,1135,38,4379445
Tick,1139,39,4427885
Tick,1143,40,4475940
Tick,1148,41,4524750
Tick,1154,42,4573850
Tick,1159,43,4622970
Tick,1162,44,4671185
Tick,1165,45,4719660
Tick,1167,46,4768010
Tick,1169,47,4816160
Tick,1171,48,4864215
Tick,1173,49,4912750
Tick,1176,50,4910420
Tick,1182,51,4909595
Tick,1186,52,4909050
Tick,1189,53,4908175
Tick,1192,54,4906950
Tick,1194,55,4907855
Tick,1197,56,4908375
Tick,1200,57,4907695
Tick,1201,58,4907430
Tick,1202,59,4907025
Tick,1208,60,4906100
Tick,1212,61,4906365
Tick,1213,62,4905715
Tick,1215,63,4905790
Tick,1217,64,4906015
Tick,1219,65,4904930
Tick,1221,66,4904980
Tick,1222,67,4902770
Tick,1224,68,4902300
Tick,1227,69,4902425
Tick,1233,70,4901650
Tick,1235,71,4901905
Tick,1237,72,4901625
Tick,1242,73,4901850
Tick,1248,74,4901830
Tick,1255,75,4901535
Tick,1256,76,4902480
Tick,1257,77,4901890
Tick,1259,78,4901555
Tick,1261,79,4901050
Tick,1263,80,4901450
Tick,1268,81,4901810
Tick,1272,82,4902200
Tick,1277,83,4902480
Tick,1280,84,4901875
Tick,1283,85,4901285
Tick,1284,86,4901435
Tick,1286,87,4902200
Tick,1288,88,4902335
Tick,1289,89,4902470
Tick,1292,90,4902855
Tick,1293,91,4903180
Tick,1295,92,4903190
Tick,1297,93,4902280
Tick,1300,94,4902990
Tick,1304,95,4903940
Tick,1306,96,4903500
Tick,1308,97,4904055
Tick,1310,98,4904360
